1,2,3,4,5,6,7,Target
9925.0,12914.0,8990.0,11680.0,11763.0,11238.0,12142.0,11391.857142857143
9963.0,13660.0,11808.0,9249.0,12959.0,13135.0,8969.0,11660.857142857143
11472.0,11934.0,10265.0,9360.0,13689.0,13886.0,11020.0,11403.285714285714
13110.0,13511.0,10364.0,10020.0,11923.0,12677.0,8218.0,11787.857142857143
12608.0,9667.0,9553.0,12183.0,12893.0,12791.0,12820.0,11311.857142857143
9027.0,13631.0,12159.0,9135.0,12618.0,10182.0,12431.0,12358.57142857143
10664.0,13151.0,12448.0,13435.0,11841.0,11729.0,13242.0,11391.285714285714
9423.0,12440.0,13942.0,10934.0,11700.0,10920.0,10380.0,11877.57142857143
13791.0,12019.0,10690.0,11352.0,11716.0,10786.0,12789.0,11515.142857142857
11345.0,10026.0,11744.0,12837.0,11537.0,11172.0,11945.0,11051.857142857143
10319.0,12123.0,9205.0,9930.0,12896.0,13557.0,9333.0,12279.142857142857
11727.0,9284.0,13252.0,13335.0,12606.0,12877.0,12873.0,11753.57142857143
13161.0,12187.0,13649.0,11667.0,8928.0,11974.0,10709.0,10933.42857142857
11772.0,12346.0,10585.0,8503.0,13512.0,9048.0,10768.0,11155.142857142857
10619.0,11833.0,9046.0,10368.0,13794.0,11448.0,10978.0,11261.42857142857
8351.0,11729.0,13715.0,12045.0,11554.0,9441.0,11995.0,11636.57142857143
11837.0,12870.0,13252.0,9618.0,9272.0,11711.0,12896.0,12135.42857142857
12320.0,13058.0,12449.0,13376.0,9819.0,11017.0,12909.0,12445.714285714286
14698.0,13140.0,9690.0,14221.0,9432.0,13426.0,12513.0,11754.857142857143
13771.0,11759.0,8783.0,8874.0,14073.0,12746.0,12278.0,11666.285714285714
11757.0,14345.0,9088.0,12447.0,10914.0,12537.0,10576.0,12155.57142857143
11705.0,12889.0,13021.0,12095.0,11278.0,12722.0,11379.0,11302.714285714286
8888.0,10009.0,11653.0,13996.0,13289.0,9392.0,11892.0,11814.0
8636.0,9553.0,13450.0,12914.0,11806.0,12916.0,13423.0,11053.42857142857
11131.0,8524.0,12509.0,12932.0,10464.0,12097.0,9717.0,12443.714285714286
12796.0,12597.0,11044.0,12136.0,12832.0,12259.0,13442.0,12056.142857142857
13325.0,11996.0,10225.0,12521.0,13178.0,10902.0,12246.0,11851.857142857143
12997.0,9527.0,12978.0,11472.0,8650.0,14247.0,13092.0,11872.142857142857
11415.0,11960.0,13375.0,13376.0,12698.0,10461.0,9820.0,12348.57142857143
11947.0,11295.0,13006.0,13742.0,10188.0,13282.0,12980.0,11313.42857142857
13096.0,9890.0,9269.0,10599.0,13958.0,9733.0,12649.0,11817.142857142857
9401.0,12808.0,14107.0,9539.0,12771.0,13884.0,10210.0,11035.714285714286
10919.0,10989.0,9343.0,10895.0,12871.0,11512.0,10721.0,11759.714285714286
12098.0,13101.0,8460.0,11723.0,11119.0,13390.0,12427.0,13055.142857142857
13533.0,14576.0,13086.0,12780.0,11812.0,13532.0,12067.0,11765.57142857143
10363.0,13136.0,10290.0,13507.0,12060.0,12994.0,10009.0,11492.142857142857
12381.0,11097.0,12701.0,12630.0,11283.0,8684.0,11669.0,11161.42857142857
9075.0,13773.0,11631.0,12497.0,12452.0,9545.0,9157.0,11756.0
12661.0,9454.0,12675.0,12234.0,12858.0,13225.0,9185.0,12315.57142857143
9215.0,12980.0,13637.0,12938.0,13327.0,12700.0,11412.0,10982.285714285714
8838.0,12487.0,11520.0,10930.0,7924.0,11272.0,13905.0,11882.857142857143
9304.0,13565.0,13135.0,13422.0,10189.0,13353.0,10212.0,11488.857142857143
10330.0,11478.0,13251.0,9719.0,9680.0,12696.0,13268.0,12440.714285714286
13606.0,13088.0,11560.0,12866.0,12161.0,12248.0,11556.0,10495.714285714286
9773.0,12083.0,9688.0,9340.0,10972.0,12774.0,8840.0,11167.857142857143
11539.0,13963.0,10144.0,8997.0,9924.0,10714.0,12894.0,11644.57142857143
12349.0,13417.0,13553.0,8317.0,7690.0,12962.0,13224.0,12355.714285714286
13334.0,13062.0,10367.0,10627.0,12273.0,12789.0,14038.0,12451.857142857143
14224.0,11474.0,11798.0,9959.0,13098.0,13166.0,13444.0,11895.857142857143
10503.0,9054.0,12972.0,14167.0,9645.0,14252.0,12678.0,11052.42857142857
8850.0,8819.0,12937.0,10066.0,11424.0,13647.0,11624.0,11131.285714285714
10544.0,12337.0,9938.0,9700.0,10820.0,14179.0,10401.0,11679.857142857143
12669.0,13185.0,9642.0,13222.0,11753.0,9661.0,11627.0,11440.57142857143
9276.0,11621.0,10603.0,12685.0,9849.0,13144.0,12906.0,11022.857142857143
9867.0,12796.0,9637.0,11914.0,11300.0,9926.0,11720.0,11549.57142857143
